BusStopCode,Description,Latitude,Longitude,RoadName
92059,Bet Blks 72/74,1.304086,103.907533,Marine Parade Rd
92061,CHIJ Katong Convent (Pr),1.30585304722559,103.91059595623031,Marine Parade Rd
92069,Tao Nan Sch,1.30566306799291,103.9110051545323,Marine Parade Rd
92071,Opp Blk 57,1.3067937735779,103.91498055803811,Marine Parade Rd
92079,Blk 57,1.30684575808096,103.91574700260743,Marine Parade Rd
92081,St. Patrick's Sec Sch,1.30751338586806,103.91754269765207,Marine Parade Rd
92089,CHIJ Katong Convent,1.3071917122941,103.91764721757994,Marine Parade Rd
92161,Aft Katong PO,1.30380001918907,103.89656923070308,Tg Katong Rd
92169,Bef Katong PO,1.303782,103.8967661,Tg Katong Rd
92241,Amber Gdns,1.30178441800843,103.9009525469614,Amber Rd
92249,Opp Amber Gdns,1.30166304472072,103.90118149629421,Amber Rd
93011,Opp Neptune Ct,1.30822971200422,103.92151900444857,Marine Parade Rd
93019,Neptune Ct,1.30787614366531,103.92111718654822,Marine Parade Rd
93021,Opp Mandarin Gdns,1.30867772794032,103.92426998119757,Marine Parade Rd
93029,Mandarin Gdns,1.30851455788092,103.92471047692146,Marine Parade Rd
93031,Opp Victoria Sch,1.30983637164414,103.92937539318251,Marine Parade Rd
93039,Laguna Pk,1.30958474832555,103.92954154203639,Marine Parade Rd
93041,Hua Xin Ct,1.31120679321816,103.9333999156994,Marine Parade Rd
93049,Lagoon View,1.31073016722066,103.9329857782451,Marine Parade Rd
93131,Opp Eastern Lagoon II,1.31277833350682,103.93415826027375,Bedok Sth Ave 1
93139,Eastern Lagoon II,1.31278641539067,103.9338525622476,Bedok Sth Ave 1
93201,Victoria Sch,1.30920003741893,103.92781269211483,Marine Parade Rd
94009,Upp East Coast Ter,1.31795981372922,103.95256713632443,Upp East Coast Rd
94011,Evergreen Gdn,1.31438169513219,103.9351058006447,Upp East Coast Rd
94019,Opp Evergreen Ave,1.3142851610342,103.93574953076752,Upp East Coast Rd
94021,Bef Sennett Rd,1.31475174256228,103.93834590911955,Upp East Coast Rd
94029,Aft Sennet Rd,1.31453305602342,103.93750499997167,Upp East Coast Rd
94031,The Summit,1.31504670788151,103.94089937209914,Upp East Coast Rd
94039,Opp The Summit,1.31485363967239,103.94066333773824,Upp East Coast Rd
94041,Aft Parbury Ave,1.31619439069366,103.94430577752213,Upp East Coast Rd
94049,Aft Bedok Sth Ave 3,1.31616443335073,103.94482108127718,Upp East Coast Rd
94051,Opp Temasek Sec Sch,1.31710244970995,103.94737959133388,Upp East Coast Rd
94059,Temasek Sec Sch,1.31707137658578,103.94798092494041,Upp East Coast Rd
94061,Kew Green Condo,1.31843666702467,103.95138333302127,Upp East Coast Rd
94069,Opp Kew Green Condo,1.31809668590525,103.95085659912792,Upp East Coast Rd
94089,Calvary Ably Of God Ch,1.31536333302999,103.94294138900047,Upp East Coast Rd
96101,Blk 3012,1.33638500905398,103.9510568939649,Simei Ave
96109,Opp Blk 3012,1.33737118239889,103.95067333143491,Simei Ave
96111,Opp ITE Coll East Adm Blk,1.33365307929022,103.95337833802823,Simei Ave
96119,ITE Coll East Adm Blk,1.33373145315305,103.9537488312858,Simei Ave
96221,Opp S'pore Expo,1.33090140156137,103.95796397863708,Xilin Ave
96229,S'pore Expo,1.3312261583979,103.95799531596526,Xilin Ave
96281,Opp Changi General Hosp,1.33941652681162,103.94850088671714,Simei Ave
96289,Changi General Hosp,1.34005496226354,103.94838106593957,Simei Ave
96301,EXPO STN EXIT B,1.33450022538919,103.9617438259165,Changi Sth Ave 1
96309,EXPO STN EXIT E,1.33427655612286,103.96175810276951,Changi Sth Ave 1
96311,BEF CHANGI STH ST 2,1.3329118846906,103.9607070021467,Changi Sth Ave 1
96319,Yusen Logistics,1.33311988623192,103.96095897791456,Changi Sth Ave 1
96361,Aft Akzonobel,1.33649110063455,103.96643704167043,Changi Business Pk Ctrl 2
96401,Honeywell Bldg,1.33678578456278,103.96599671694322,Changi Business Pk Ctrl 1
97009,Changi Business Pk Ter,1.34188800000174,103.96713700000154,Changi Sth Ave 1
98011,Blk 149A,1.36221388889515,103.96291600002557,Loyang Ave
98019,Opp Blk 149A,1.3622609999684,103.96338699998489,Loyang Ave
98091,Blk 156,1.36432808773556,103.9631266198707,Pasir Ris Dr 1
98099,Blk 269A,1.36457166700645,103.96328361098551,Pasir Ris Dr 1
